Agency,AwardDescription,Length,,,,
NASA,"CENTER MAINTENANCE, OPERATIONS, AND ENGINEERING (CMOE) CONTRACT. REQUIREMENT FOR THE MAINTENANCE, OPERATIONS, AND ENGINEERING OF LARC'S INSTITUTIONAL FACILITIES AND HIGHLY TECHNICAL RESEARCH FACILITIES FOR MISSION SUCCESS.  THE CMOE CONTRACT WILL PROVIDE CORE SUPPORT SERVICES TO LARC IN THE AREAS OF INSTITUTIONAL AND RESEARCH OPERATIONS, MAINTENANCE, AND ENGINEERING (OME).  THESE TECHNICAL SERVICES INCLUDE:  RESEARCH FACILITIES OPERATIONS (E.G., HIGHLY SPECIALIZED WIND TUNNELS, LABORATORIES, TEST STANDS, INSTRUMENTATION CALIBRATION/REPAIR) CENTRAL UTILITIES OPERATIONS (E.G., STEAM, COMPRESSED AIR, ELECTRICAL POWER DISTRIBUTION, POTABLE WATER) TECHNOLOGY DEVELOPMENT/ADMINISTRATION (E.G., FACILITY AUTOMATION SYSTEMS [FAS], DATA ACQUISITION SYSTEMS [DAS]) RESEARCH AND INSTITUTIONAL FACILITY MAINTENANCE (E.G., PREVENTIVE MAINTENANCE, TROUBLE CALLS, RELIABILITY CENTERED MAINTENANCE [RCM], FACILITY CONDITION ASSESSMENT [FCA]) AND FACILITY ENGINEERING (E.G., DESIGN, CONSTRUCTION, CONFIGURATION MANAGEMENT, TACTICAL ENGINEERING, PRESSURE SYSTEM RECERTIFICATION, PROJECT MANAGEMENT/PLANNING SUPPORT",1104,,,,
NASA,"CENTER MAINTENANCE, OPERATIONS, AND ENGINEERING (CMOE) CONTRACT. REQUIREMENT FOR THE MAINTENANCE, OPERATIONS, AND ENGINEERING OF LARC'S INSTITUTIONAL FACILITIES AND HIGHLY TECHNICAL RESEARCH FACILITIES FOR MISSION SUCCESS.  THE CMOE CONTRACT WILL PROVIDE CORE SUPPORT SERVICES TO LARC IN THE AREAS OF INSTITUTIONAL AND RESEARCH OPERATIONS, MAINTENANCE, AND ENGINEERING (OME).  THESE TECHNICAL SERVICES INCLUDE:  RESEARCH FACILITIES OPERATIONS (E.G., HIGHLY SPECIALIZED WIND TUNNELS, LABORATORIES, TEST STANDS, INSTRUMENTATION CALIBRATION/REPAIR) CENTRAL UTILITIES OPERATIONS (E.G., STEAM, COMPRESSED AIR, ELECTRICAL POWER DISTRIBUTION, POTABLE WATER) TECHNOLOGY DEVELOPMENT/ADMINISTRATION (E.G., FACILITY AUTOMATION SYSTEMS [FAS], DATA ACQUISITION SYSTEMS [DAS]) RESEARCH AND INSTITUTIONAL FACILITY MAINTENANCE (E.G., PREVENTIVE MAINTENANCE, TROUBLE CALLS, RELIABILITY CENTERED MAINTENANCE [RCM], FACILITY CONDITION ASSESSMENT [FCA]) AND FACILITY ENGINEERING (E.G., DESIGN, CONSTRUCTION, CONFIGURATION MANAGEMENT, TACTICAL ENGINEERING, PRESSURE SYSTEM RECERTIFICATION, PROJECT MANAGEMENT/PLANNING SUPPORT",1104,,,,
NASA,"BLANKET PURCHASE AGREEMENT IS TO PROVIDE INFORMATION TECHNOLOGY SUPPORT SERVICES - TWO FOR THE KSC IT DIRECTORATE. (ITSS-II) MOD 10: THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION 4 OF THE CONTRACT. IN ACCORDANCE WITH CLAUSE FAR 52.217-9 OPTION TO EXTEND THE TERM OF THE CONTRACT, THE GOVERNMENT HEREBY EXERCISES OPTION 4 FOR THE PERIOD OF OCTOBER 1, 2020 THROUGH SEPTEMBER 30, 2021.",391,,,,
NASA,SUITE OF LAGRANGIAN COHERENT STRUCTURE (SUITELCS) SOFTWARE,58,,,,
NASA,GAS REPLACEMENT SYSTEM,22,,,,
NASA,USE OF PILOT MODELS TO SUPPORT DESIGN ANALYSIS AND CERTIFICATION OF UAM VEHICLES,80,,,,
NASA,MOSAIC,6,,,,
NASA,MOSAIC CLOUD FMS,16,,,,
NASA,PRECISION FEMTOSECOND LASER ADDITIVE MANUFACTURING AND ATHERMAL WELDING,71,,,,
NASA,ON-DEMAND SINGLE-PHOTON SOURCES FOR CORRELATED CALIBRATION OF SINGLE PHOTON DETECTORS,85,,,,
NASA,"DEPLOYABLE, LIGHTWEIGHT, FREEZE-TOLERANT RADIATOR FOR.TWO PHASE THERMAL MANAGEMENT",82,,,,
NASA,BROADBAND UNCOOLED IR DETECTOR BASED ON NANO-ELECTROMECHANICAL SYSTEMS (NEMS),77,,,,
NASA,SOFT ROBOTIC MANIPULATORS WITH ENHANCED PERCEPTION USING MULTIMODAL SENSORY SKINS,81,,,,
NASA,CARBON CARBON COMPOSITE TUBES FOR NUCLEAR THERMAL PROPULSION,60,,,,
NASA,ENABLING HIGH ENERGY DENSITY LI-ION BATTERY USING SOLID ELECTROLYTES,68,,,,
NASA,A COMPACT AND AUTOMATED LIQUID-HANDLING ROBOT FOR MICROGRAVITY USES,67,,,,
NASA,"RAPID SPACECRAFT ACQUISITION IV (RAPID IV).THE RAPID IV CONTRACT SERVES AS A RAPID&FLEXIBLE MEANS FOR THE GOVERNMENT TO ACQUIRE SPACECRAFT&RELATED COMPONENTS, EQUIPMENT&SERVICES IN SUPPORT OF NASA MISSIONS AND/OR OTHER FEDERAL GOVERNMENT AGENCIES.",247,,,,
NASA,A COMPACT AND AUTOMATED LIBRARY PREPARATION DEVICE FOR NANOPORE SEQUENCING,74,,,,
NASA,"THE PURPOSE OF THIS BPAIS TO PROVIDE AND/OR PERFORM SYSTEMS AND SOFTWARE ENGINEERING TOOL RELATED PRODUCTS AND ASSOCIATED SERVICES IN SUPPORT OF THE NASA IV&V PROGRAM. THESE SERVICES INCLUDE SOFTWARE DEVELOPMENT, MAINTENANCE, SYSTEM ADMINISTRATION, HELPDESK, SOFTWARE PROCUREMENT, TRAINING, AND OTHER ENGINEERING SERVICES.",322,,,,
NASA,OOA PROCESS FOR MANUFACTURE OF LARGE THIN GAUGE COMPOSITES,58,,,,
NASA,SOLID-STATE LITHIUM-ION BATTERIES FOR ELECTRIFIED AIRCRAFT PROPULSION ENERGY STORAGE,84,,,,
NASA,"GATEWAY MANAGEMENT THROUGH ADAPTIVE, AUTONOMOUS, FAULT IDENTIFICATION&DIAGNOSIS AND RECONFIGURATION/REPLANNING/RESCHEDULING OPTIMIZATION",136,,,,
NASA,EARTH OBSERVATIONS FROM PRIVATE SECTOR SMALL SATELITE CONSTELLATIONS PILOT,74,,,,
NASA,"WITHIN PHASE II OF THE WHISPER PROGRAM AS&T IMPLEMENTED AND VALIDATED A FULLY FUNCTIONAL DESIGN OF THE WHISPER SYSTEM. GIVEN THAT THE PHASE II PROGRAM WAS FOCUSED ON THE DEVELOPMENT AND VALIDATION OF A GENERALIZED IMPLEMENTATION, THE OVERALL DESIGN WAS FOCUSED ON FLEXIBLE DESIGN AND TESTING USING READILY AVAILABLE COTS COMPONENTS. SUCH A DESIGN WAS FOCUSED ON MODULARITY, USE OF PREEXISTING REFERENCE DESIGNS, AND EXTENSIVE USE OF TEST POINTS, AT THE RELATIVE COST OF SWAP-C. WITHIN THE PROPOSED PHASE II-X PROGRAM THE OPTIMAL CONFIGURATIONS OF SOFTWARE AND HARDWARE DEVELOPED IN PHASE II WILL BE OPTIMIZED FOR SWAP-C PARAMETERS WITHIN THE SPECIFIC AND OFTEN DISPARATE CONSTRAINTS OF NASA NEEDS AND COMMERCIAL MARKETS. WHILE THE PHASE II IMPLEMENTATION OF THE WHISPER SYSTEM IS FUNCTIONAL, THE TRUE ADVANTAGE OF THE TECHNOLOGY RESTS IN LARGE PART IN THE VERY SMALL SWAP-C CONSTRAINTS THAT MAY BE REALIZED BY THE REDESIGNS TO BE IMPLEMENTED IN PHASE II-X. BY REDUCING OAB DIMENSIONS TO A SMALL ASSEMBLY AND TAGS TO A SCALE COMPARABLE TO THAT OF CONVENTIONAL RFID TAG, IT IS POSSIBLE TO REALIZE BOTH THE VISION OF THE NASA AND COMMERCIAL IMPLEMENTATIONS DESIRED.",1162,,,,
NASA,SPACE-WEATHER CUBESAT ARRAY FOR 24/7 PROMPT GLOBAL COVERAGE EXPERIMENT (SWAP-E),79,,,,
NASA,PROBABILITY OF DETECTION AND VALIDATION FOR COMPUTED TOMOGRAPHY PROCESSES FOR ADDITIVE MANUFACTURING (20-RD-231),112,,,,
NASA,NEW SPACE DIRECTIVE HAS OPENED UP NEW CHALLENGES AND OPPORTUNITIES IN AI APPLICATIONS. NUMEM AIMS TO AUGMENT NASA S HIGH- PERFORMANCE SPACEFLIGHT COMPUTING (HPSC) PROGRAM WITH DESIGN OF RADIATION HARDENED&ULTRA-LOW POWER DNN CO-PROCESSOR TO,240,,,,
NASA,FLASH LIDAR SPATIAL RESOLUTION AND RANGE IMPROVEMENTS FOR EDL APPLICATIONS,74,,,,
NASA,ROBUST RADIATION HARD LOW POWER DAC,35,,,,
NASA,LOW-POWER BACKSCATTER NETWORKING WITH DEVICE SYNCHRONIZATION AND TIMESTAMPING,77,,,,
NASA,PRESOUND: UAV DIAGNOSTIC SYSTEM ENABLED BY ACOUSTICS AND VIBRATION-BASED MACHINE LEARNING,89,,,,
NASA,NASA END-USER SERVICES&TECHNOLOGIES (NEST),42,,,,
NASA,AUTONOMOUS MEDICAL RESPONSE AGENT (AMRA) FOR PROLONGED FIELD CARE IN SPACE,74,,,,
NASA,NASA END-USER SERVICES&TECHNOLOGIES (NEST),42,,,,
NASA,AUTONOMOUS GUIDANCE FOR MEDICAL PROCEDURES,42,,,,
NASA,SELF-ERECTING ELEVATED PLATFORM,31,,,,
NASA,ECOSYSTEM FOR EARLY FEEDBACK-DRIVEN HEC CODE DEVELOPMENT,56,,,,
NASA,"NEXT GENERATION AI-BASED ASSISTED DOCUMENT AUTHORING, RECOMMENDATION AND UNDERSTANDING",86,,,,
NASA,MAGNETIC GEARING APPLICATIONS FOR SPACE,39,,,,
NASA,HIGH PRECISION COMPACT MODULAR FLASH LIDAR FOR LUNAR AND NEW FRONTIERS MISSION,78,,,,
NASA,"TO CARRY OUT EFFECTIVE AND COMPREHENSIVE LANDSCAPING, TRASH AND RECYCLING REMOVAL AT WFF",88,,,,
NASA,PROVIDE SUPPORT AND SUSTAINING FOR THE NEUTRAL BUOYANCY LABORATORY OPERATIONS CONTRACT (NOC).,93,,,,
NASA,"CLIMATE ABSOLUTE RADIANCE AND REFRACTIVITY OBSERVATORY PATHFINDER INSTRUMENT, PAYLOAD, AND MISSION OPERATIONS",109,,,,
NASA,"PACE IV, PROFESSIONAL, ADMINISTRATIVE, COMPUTATIONAL AND ENGINEERING SERVICES",77,,,,
NASA,"FACILITIES OPERATIONS, REPAIR, AND MAINTENANCE II (FORM-II)",59,,,,
NASA,"PLACE OF PERFORMANCE: WFF, WALLOPS ISLAND, VA  THE WICC II WILL BE A MECHANISM FOR INSTITUTIONAL SERVICES, WITH THE EXCEPTION OF SECURITY, FOR THE WALLOPS FLIGHT FACILITY (WFF). THE STATEMENT OF WORK INCLUDES: FACILITIES PLANNING, ENGINEERING, AND CONSTRUCTION MANAGEMENT SERVICES FACILITIES OPERATIONS AND MAINTENANCE CONSTRUCTION AND MISSION SUPPORT SERVICES GROUNDS MAINTENANCE SERVICES LOGISTICS OCCUPATIONAL MEDICINE ENVIRONMENTAL MANAGEMENT SUPPORT SERVICES DUPLICATION SERVICES VISITOR CENTER SERVICES MAIL SERVICES RECORDS MANAGEMENT CUSTODIAL SERVICES AND SOLID WASTE CHEMICAL AND BIOLOGICAL LABORATORY SUPPORT SERVICES TECHNICAL FACILITY OPERATIONS TELECOMMUNICATIONS AND ENGINEERING SUPPORT SERVICES AND EMERGENCY SERVICES TO SUPPORT PROGRAMMATIC OPERATIONS FOR THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) AND THE NAVY AT THE WFF LOCATED AT WALLOPS ISLAND, VIRGINIA.",890,,,,
NASA,HUMAN HEALTH AND PERFORMANCE CONTRACT,37,,,,
NASA,"COMMUNICATIONS, OUTREACH, MULTIMEDIA, AND INFORMATION TECHNOLOGY (COMIT) CONTRACT.",82,,,,
NASA,"STARSS III SCIENCE, TECHNOLOGY, AND RESEARCH SUPPORT SERVICE IIISUPPORT IN EARTH AND PLANETARY ATMOSPHERIC SCIENCE, RESEARCH AND TECHNOLOGY, AND ATMOSPHERIC SCIENCE DATA CENTER (ASDC)",183,,,,
NASA,THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE/DEOBLIGATE INCREMENTAL FUNDING FOR VARIOUS PREVIOUSLY EXISTING WORK PACKAGES.  (NICS) NNM11AA04C.,145,,,,
NASA,"THE WORK TO BE PERFORMED UNDER CONTRACT SHALL CONSIST OF FURNISHING ALL LABOR, EQUIPMENT, MATERIALS, AND SUPPLIES NECESSARY TO 1 PROVIDE MANAGEMENT OF THE TASKS OF THIS LOUISIANA BOARD OF REGENTS CONTRACT, AND 2 SUCH REQUIREMENTS THAT MAY BE SUBSEQUENTLY SET FORTH ON RESEARCH AND DEVELOPMENT TASK ORDERS.  THE CONTRACTOR SHALL PROVIDE ENGINEERING AND SCIENTIFIC RESEARCH TO NASA AT THE JOHN C. STENNIS SPACE CENTER (SSC) OTHER NASA CENTERS, THE TENANT AGENCIES AT STENNIS SPACE CENTER, AND OTHER GOVERNMENT AGENCIES IN AREAS SUCH AS ACOUSTICS, IMAGE ANALYSIS, GEOGRAPHIC INFORMATION SYSTEMS, COMPUTATIONAL FLUID DYNAMICS, POLYMERS AND CERAMICS, ELECTRON MICROSCOPY, MICROELECTRONICS, MICRO ELECTRO MECHANICAL SYSTEMS (MEMS), MAGNETO HYDRODYNAMICS, DIAGNOSTIC INSTRUMENTATION, ADVANCED SIGNAL PROCESSING, EMERGING TECHNOLOGIES IN COMMUNICATIONS, COMPUTATIONAL SCIENCES AND COMPUTER ARCHITECTURE, KNOWLEDGE SYSTEMS, FINITE ELEMENT ANALYSIS INCLUDING THERMAL STRESSES, FLUID SOLID INTERACTIONS, ADVANCED PROCESS CONTROL THEORY, WORKFORCE DEVELOPMENT, STEM (SCIENCE, TECHNOLOGY, ENGINEERING, MATH) EDUCATION, AND OTHER COMPUTATIONAL, SCIENTIFIC, AND ENGINEERING AREAS ASSOCIATED WITH THE TECHNICAL AND EDUCATIONAL MISSIONS OF NASA AND THE AGENCIES ELIGIBLE TO ENGAGE IN THIS CONTRACT MECHANISM.  THE CONTRACT WILL BE ADMINISTERED BY THE LOUISIANA BOARD OF REGENTS LABOR WHICH WILL SERVE AS THE LIAISON TO NASA IN THE PERFORMANCE OF THIS CONTRACT.  THE LABOR WILL BE RESPONSIBLE FOR RECEIVING STATEMENTS OF WORK (SOW) FROM THE NASA SSC OFFICE OF PROCUREMENT. TIMELY DISTRIBUTION OF THE SOW TO LABOR INSTITUTIONS OFFICES OF SPONSORED RESEARCH WITH INSTRUCTIONS ON THE PROCEDURE AND REQUIRED SCHEDULE FOR SUBMITTING PROPOSALS. PROVIDING DOCUMENTATION TO STENNIS SPACE CENTER SUPPORTING SOW DISTRIBUTION TO ALL LABOR INSTITUTIONS OFFICES OF SPONSORED RESEARCH.  DOCUMENTATION SUPPORTING A NEGATIVE RESPONSE FROM NONPARTICIPATING LABOR INSTITUTIONS IS REQUIRED. PROVIDING ALL SUBMITTED PROPOSALS TO STENNIS SPACE CENTER IN A TIMELY MANNER FOR STENNIS SPACE CENTER TECHNICAL MONITOR REVIEW. PROVIDING ADMINISTRATIVE OVERSIGHT TO THE LABOR INSTITUTION SELECTED BY NASA STENNIS SPACE CENTER TO CONDUCT RESEARCH UNDER EACH TASK ORDER. PERFORMING GENERAL OVERSIGHT AND ADMINISTRATIVE FUNCTIONS. PROVIDING MONTHLY INVOICES TO STENNIS SPACE CENTER. ENSURING ACCOUNTABILITY AND NETWORKING AMONG LABOR INSTITUTIONS. PROVIDING STATUS REPORTS ON SCHEDULE AND COST. PROVIDE ANNUAL REPORTS ON THE ACTIVITIES ON THE LABOR AT STENNIS SPACE CENTER. PROVIDE A FINAL REPORT AND PROJECT CLOSE OUT.  LISTED BELOW ARE THE CRITERIA THAT WILL BE USED TO EVALUATE THE LABOR PROPOSAL TO ADMINISTER THE CONTRACT IN LOUISIANA BACKGROUND ON THE LABOR WITH A SUMMARY OF RELEVANT CAPABILITIES OF ITS MEMBER INSTITUTIONS. MANAGEMENT PLAN FOR THE ADMINISTRATION OF THIS CONTRACT. COSTS OF CONTRACT ADMINISTRATION. PAST PERFORMANCE OF LABOR ON SIMILAR CONTRACTS. QUALIFICATIONS OF MANAGEMENT PERSONNEL",2960,,,,
NASA,"GEARS IS THE PRIMARY CONTRACT WHEREBY THE CENTER RECEIVES ENGINEERING, RESEARCH, AND SCIENTIFIC SUPPORT.",104,,,,
NASA,"THIS REGIONALIZED MULTIPLE AWARD CONSTRUCTION CONTRACT TWO (MACC-II) SHALL RESULT IN THE AWARD OF A MAXIMUM OF TWENTY-FOUR (24) INDEFINITE DELIVERY/INDEFINITE QUANTITY (IDIQ) IN SUPPORT MACC-II. THE MACC-II PROVIDES A CRITICAL IN-PLACE CONTRACTUAL MECHANISM THROUGH A REGIONALIZED MULTIPLE AWARD, INDEFINITE DELIVERY, INDEFINITE QUANTITY (IDIQ) CONTRACT TO SUPPORT GENERAL CONSTRUCTION, ALTERATION, MODIFICATION, MAINTENANCE AND REPAIR, DEMOLITION, DESIGN-BUILD, AND NEW CONSTRUCTION OF BUILDINGS, FACILITIES, AND REAL PROPERTY AT JOHN C. STENNIS SPACE CENTER (SSC), JOHNSON SPACE CENTER (JSC) INCLUDING WHITE SANDS TEST FACILITY (WSTF), KENNEDY SPACE CENTER (KSC), AND MARSHALL SPACE FLIGHT CENTER (MSFC) INCLUDING MICHOUD ASSEMBLY FACILITY (MAF). MACC-II WILL ALSO SUPPORT EMERGENCY RESPONSE TO NATURAL DISASTERS AND EMERGENCIES. OTHER NASA CENTERS AND FEDERAL TENANTS AT NASA FACILITIES MAY UTILIZE MACC-II WITH SSC PROCUREMENT OFFICER APPROVAL. THE MACC-II IS NOT A REQUIREMENTS CONTRACT AND THEREFORE NOT MANDATORY. THE MACC-II IS INTENDED TO PROVIDE A HIGHLY FLEXIBLE CONSTRUCTION CONTRACTING VEHICLE FOR PARTICIPATING CENTERS. THIS SOLICITATION INCLUDES 4 SEED PROJECTS, ONE FOR EACH OF THE 4 CENTERS. DETAILS ARE FOUND IN THE INITIAL MODEL TASK ORDERS LISTED IN SECTION J OF THIS SOLICITATION AND REFERENCED IN SECTION B SCHEDULE: THE CONTRACTOR SHALL PROVIDE ALL LABOR, TOOLS, EQUIPMENT AND MATERIALS TO PERFORM EACH TASK AS DEFINED IN THE SPECIFICATIONS AND DRAWINGS IDENTIFIED FOR THE SPECIFIC INITIAL MODEL TASK ORDER. SEE SECTION J. AND REFERENCE BID ITEM 0002-0005.",1579,,,,
NASA,"THIS REGIONALIZED MULTIPLE AWARD CONSTRUCTION CONTRACT TWO (MACC-II) SHALL RESULT IN THE AWARD OF A MAXIMUM OF TWENTY-FOUR (24) INDEFINITE DELIVERY/INDEFINITE QUANTITY (IDIQ) IN SUPPORT MACC-II. THE MACC-II PROVIDES A CRITICAL IN-PLACE CONTRACTUAL MECHANISM THROUGH A REGIONALIZED MULTIPLE AWARD, INDEFINITE DELIVERY, INDEFINITE QUANTITY (IDIQ) CONTRACT TO SUPPORT GENERAL CONSTRUCTION, ALTERATION, MODIFICATION, MAINTENANCE AND REPAIR, DEMOLITION, DESIGN-BUILD, AND NEW CONSTRUCTION OF BUILDINGS, FACILITIES, AND REAL PROPERTY AT JOHN C. STENNIS SPACE CENTER (SSC), JOHNSON SPACE CENTER (JSC) INCLUDING WHITE SANDS TEST FACILITY (WSTF), KENNEDY SPACE CENTER (KSC), AND MARSHALL SPACE FLIGHT CENTER (MSFC) INCLUDING MICHOUD ASSEMBLY FACILITY (MAF). MACC-II WILL ALSO SUPPORT EMERGENCY RESPONSE TO NATURAL DISASTERS AND EMERGENCIES. OTHER NASA CENTERS AND FEDERAL TENANTS AT NASA FACILITIES MAY UTILIZE MACC-II WITH SSC PROCUREMENT OFFICER APPROVAL. THE MACC-II IS NOT A REQUIREMENTS CONTRACT AND THEREFORE NOT MANDATORY. THE MACC-II IS INTENDED TO PROVIDE A HIGHLY FLEXIBLE CONSTRUCTION CONTRACTING VEHICLE FOR PARTICIPATING CENTERS. THIS SOLICITATION INCLUDES 4 SEED PROJECTS, ONE FOR EACH OF THE 4 CENTERS. DETAILS ARE FOUND IN THE INITIAL MODEL TASK ORDERS LISTED IN SECTION J OF THIS SOLICITATION AND REFERENCED IN SECTION B SCHEDULE: THE CONTRACTOR SHALL PROVIDE ALL LABOR, TOOLS, EQUIPMENT AND MATERIALS TO PERFORM EACH TASK AS DEFINED IN THE SPECIFICATIONS AND DRAWINGS IDENTIFIED FOR THE SPECIFIC INITIAL MODEL TASK ORDER. SEE SECTION J. AND REFERENCE BID ITEM 0002-0005.",1579,,,,
NASA,"THIS REGIONALIZED MULTIPLE AWARD CONSTRUCTION CONTRACT TWO (MACC-II) SHALL RESULT IN THE AWARD OF A MAXIMUM OF TWENTY-FOUR (24) INDEFINITE DELIVERY/INDEFINITE QUANTITY (IDIQ) IN SUPPORT MACC-II. THE MACC-II PROVIDES A CRITICAL IN-PLACE CONTRACTUAL MECHANISM THROUGH A REGIONALIZED MULTIPLE AWARD, INDEFINITE DELIVERY, INDEFINITE QUANTITY (IDIQ) CONTRACT TO SUPPORT GENERAL CONSTRUCTION, ALTERATION, MODIFICATION, MAINTENANCE AND REPAIR, DEMOLITION, DESIGN-BUILD, AND NEW CONSTRUCTION OF BUILDINGS, FACILITIES, AND REAL PROPERTY AT JOHN C. STENNIS SPACE CENTER (SSC), JOHNSON SPACE CENTER (JSC) INCLUDING WHITE SANDS TEST FACILITY (WSTF), KENNEDY SPACE CENTER (KSC), AND MARSHALL SPACE FLIGHT CENTER (MSFC) INCLUDING MICHOUD ASSEMBLY FACILITY (MAF). MACC-II WILL ALSO SUPPORT EMERGENCY RESPONSE TO NATURAL DISASTERS AND EMERGENCIES. OTHER NASA CENTERS AND FEDERAL TENANTS AT NASA FACILITIES MAY UTILIZE MACC-II WITH SSC PROCUREMENT OFFICER APPROVAL. THE MACC-II IS NOT A REQUIREMENTS CONTRACT AND THEREFORE NOT MANDATORY. THE MACC-II IS INTENDED TO PROVIDE A HIGHLY FLEXIBLE CONSTRUCTION CONTRACTING VEHICLE FOR PARTICIPATING CENTERS. THIS SOLICITATION INCLUDES 4 SEED PROJECTS, ONE FOR EACH OF THE 4 CENTERS. DETAILS ARE FOUND IN THE INITIAL MODEL TASK ORDERS LISTED IN SECTION J OF THIS SOLICITATION AND REFERENCED IN SECTION B SCHEDULE: THE CONTRACTOR SHALL PROVIDE ALL LABOR, TOOLS, EQUIPMENT AND MATERIALS TO PERFORM EACH TASK AS DEFINED IN THE SPECIFICATIONS AND DRAWINGS IDENTIFIED FOR THE SPECIFIC INITIAL MODEL TASK ORDER. SEE SECTION J. AND REFERENCE BID ITEM 0002-0005.",1579,,,,
NASA,"THIS REGIONALIZED MULTIPLE AWARD CONSTRUCTION CONTRACT TWO (MACC-II) SHALL RESULT IN THE AWARD OF A MAXIMUM OF TWENTY-FOUR (24) INDEFINITE DELIVERY/INDEFINITE QUANTITY (IDIQ) IN SUPPORT MACC-II. THE MACC-II PROVIDES A CRITICAL IN-PLACE CONTRACTUAL MECHANISM THROUGH A REGIONALIZED MULTIPLE AWARD, INDEFINITE DELIVERY, INDEFINITE QUANTITY (IDIQ) CONTRACT TO SUPPORT GENERAL CONSTRUCTION, ALTERATION, MODIFICATION, MAINTENANCE AND REPAIR, DEMOLITION, DESIGN-BUILD, AND NEW CONSTRUCTION OF BUILDINGS, FACILITIES, AND REAL PROPERTY AT JOHN C. STENNIS SPACE CENTER (SSC), JOHNSON SPACE CENTER (JSC) INCLUDING WHITE SANDS TEST FACILITY (WSTF), KENNEDY SPACE CENTER (KSC), AND MARSHALL SPACE FLIGHT CENTER (MSFC) INCLUDING MICHOUD ASSEMBLY FACILITY (MAF). MACC-II WILL ALSO SUPPORT EMERGENCY RESPONSE TO NATURAL DISASTERS AND EMERGENCIES. OTHER NASA CENTERS AND FEDERAL TENANTS AT NASA FACILITIES MAY UTILIZE MACC-II WITH SSC PROCUREMENT OFFICER APPROVAL. THE MACC-II IS NOT A REQUIREMENTS CONTRACT AND THEREFORE NOT MANDATORY. THE MACC-II IS INTENDED TO PROVIDE A HIGHLY FLEXIBLE CONSTRUCTION CONTRACTING VEHICLE FOR PARTICIPATING CENTERS. THIS SOLICITATION INCLUDES 4 SEED PROJECTS, ONE FOR EACH OF THE 4 CENTERS. DETAILS ARE FOUND IN THE INITIAL MODEL TASK ORDERS LISTED IN SECTION J OF THIS SOLICITATION AND REFERENCED IN SECTION B SCHEDULE: THE CONTRACTOR SHALL PROVIDE ALL LABOR, TOOLS, EQUIPMENT AND MATERIALS TO PERFORM EACH TASK AS DEFINED IN THE SPECIFICATIONS AND DRAWINGS IDENTIFIED FOR THE SPECIFIC INITIAL MODEL TASK ORDER. SEE SECTION J. AND REFERENCE BID ITEM 0002-0005.",1579,,,,
NASA,"THIS REGIONALIZED MULTIPLE AWARD CONSTRUCTION CONTRACT TWO (MACC-II) SHALL RESULT IN THE AWARD OF A MAXIMUM OF TWENTY-FOUR (24) INDEFINITE DELIVERY/INDEFINITE QUANTITY (IDIQ) IN SUPPORT MACC-II. THE MACC-II PROVIDES A CRITICAL IN-PLACE CONTRACTUAL MECHANISM THROUGH A REGIONALIZED MULTIPLE AWARD, INDEFINITE DELIVERY, INDEFINITE QUANTITY (IDIQ) CONTRACT TO SUPPORT GENERAL CONSTRUCTION, ALTERATION, MODIFICATION, MAINTENANCE AND REPAIR, DEMOLITION, DESIGN-BUILD, AND NEW CONSTRUCTION OF BUILDINGS, FACILITIES, AND REAL PROPERTY AT JOHN C. STENNIS SPACE CENTER (SSC), JOHNSON SPACE CENTER (JSC) INCLUDING WHITE SANDS TEST FACILITY (WSTF), KENNEDY SPACE CENTER (KSC), AND MARSHALL SPACE FLIGHT CENTER (MSFC) INCLUDING MICHOUD ASSEMBLY FACILITY (MAF). MACC-II WILL ALSO SUPPORT EMERGENCY RESPONSE TO NATURAL DISASTERS AND EMERGENCIES. OTHER NASA CENTERS AND FEDERAL TENANTS AT NASA FACILITIES MAY UTILIZE MACC-II WITH SSC PROCUREMENT OFFICER APPROVAL. THE MACC-II IS NOT A REQUIREMENTS CONTRACT AND THEREFORE NOT MANDATORY. THE MACC-II IS INTENDED TO PROVIDE A HIGHLY FLEXIBLE CONSTRUCTION CONTRACTING VEHICLE FOR PARTICIPATING CENTERS. THIS SOLICITATION INCLUDES 4 SEED PROJECTS, ONE FOR EACH OF THE 4 CENTERS. DETAILS ARE FOUND IN THE INITIAL MODEL TASK ORDERS LISTED IN SECTION J OF THIS SOLICITATION AND REFERENCED IN SECTION B SCHEDULE: THE CONTRACTOR SHALL PROVIDE ALL LABOR, TOOLS, EQUIPMENT AND MATERIALS TO PERFORM EACH TASK AS DEFINED IN THE SPECIFICATIONS AND DRAWINGS IDENTIFIED FOR THE SPECIFIC INITIAL MODEL TASK ORDER. SEE SECTION J. AND REFERENCE BID ITEM 0002-0005.",1579,,,,
