awarding_agency_name,award_description
DEPARTMENT OF COMMERCE (DOC),"SPECIALIZED ENGINEERING AND SYSTEMS ADMINISTRATION SERVICES FOR RESEARCH, OPERATIONS, AND DATA STEWARDSHIP FOR NOAA ESRL NWAVE."
DEPARTMENT OF DEFENSE (DOD),ORDERS
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
ENVIRONMENTAL PROTECTION AGENCY (EPA),IGF::OT::IGF STATE FINANCIAL ASSURANCE PROGRAM SUPPORT FOR THE RCRA AND PCB PROGRAM
DEPARTMENT OF DEFENSE (DOD),"AWARD OF RS3-19-0010, CYBERTROPOLIS TECHNOLOGY ENVIRONMENT PLATFORM (CTEP) FOR THE INDIANA ARMY NATIONAL GUARD (INNG) AT ATTERBURY-MUSCATATUK CENTER FOR COMPLEX OPERATIONS (AMCCO) TECHNOLOGY DIVISION, TO PROVIDE CONVENTIONAL BASE SUPPORT FUNCTIONS."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-SR-BIO.0001-18; E-103-2013/0-US-04; KUNOS; PATENT LEGAL SERVICE; (SHMILOVICH) CLN 2-SR-BIO.0144-18; E-103-2013/0-US-04; KUNOS; PATENT LEGAL SERVICE; (SHMILOVICH) CLN 3-SR-BIO.0145-18; E-103-2013/0-EP-03; KUNOS; PATENT LEGAL SERVICE; (SHMILOVICH)
ENVIRONMENTAL PROTECTION AGENCY (EPA),"ECONOMIC, ENVIRONMENTAL, AND REGULATORY ANALYTICAL AND EVALUATION SUPPORT.  ENERGY STAR RESIDENTIAL BRANCH ACCOUNT MANAGEMENT, OUTREACH, AND TECHNICAL SUPPORT"
ENVIRONMENTAL PROTECTION AGENCY (EPA),"UNDER THE CLEAN WATER ACT, THE OFFICE OF WASTEWATER MANAGEMENT (OWM) WORKS IN PARTNERSHIP WITH EPA REGIONS, SATES AND TRIBES TO REGULATE DISCHARGES, AS DEFINED UNDER THE ACT, INTO APPLICABLE SURFACE WATERS, SUCH AS WETLANDS, LAKES, RIVERS, ESTUARIES, BAYS AND OCEANS. TYPICALLY OWM FOCUSES ON WATER THAT COLLECTS IN DISCRETE CONVEYANCES OR POINT SOURCES, TO INCLUDE WATER THAT COLLECTS IN PIPES, DITCHES, AND SANITARY OR STORM SEWERS. THIS METHODOLOGY OF ANALYZING IDENTIFIABLE POINT SOURCES WITHIN A DEFINED WATERSHED IS INTENDED TO MAXIMIZE CONTINUITY IN SOLUTION TO ADDRESS ALL POLLUTION PROBLEMS WITHIN A DEFINITIVE GEOGRAPHIC AREA. AGAIN, TARGETING POINT SOURCES OF POLLUTION, NATURAL OR OTHERWISE, A WATERSHED-BASED NATIONAL POLLUTANT DISCHARGE ELIMINATION SYSTEM (NPDES) IS A BASIS TO QUALIFY AND MEASURE ALTERNATIVES THROUGH THE DEVELOPMENT OF ENVIRONMENTALLY SOUND PERMITS FOR MULTIPLE POINT SOURCES LOCATED WITHIN A WATERSHED SO AS TO EFFECTIVELY MEET WATER QUALITY STANDARDS.   IN ADDITION, OWM REQUIRES SUPPORT IN THE DIRECTION AND PROMOTION OF THE PROGRAMS CONDUCTED UNDER THE CLEAN WATER STATE REVOLVING FUND, THE LARGEST SINGLE WATER QUALITY-FUNDING SOURCE, WHOSE EMPHASIS FOCUSES ON FUNDING WASTEWATER TREATMENT SYSTEMS, NONPOINT SOURCE PROJECTS, AND ESTUARY PROTECTION. IN MEETING THESE MISSION REQUIREMENTS, OWM REQUIRES TECHNICAL AND ADMINISTRATIVE SUPPORT SERVICES TO QUANTIFY AND EXTEND THE BASE OF KNOWLEDGE AND SPECIALIZED EXPERTISE NECESSARY FOR DECISION-MAKERS TO FULFILL THEIR STATUTORY RESPONSIBILITIES.  THIS PERFORMANCE WORK STATEMENT (PWS) SHALL PRESENT THE SCOPE OF THOSE AREAS OF SUPPORT AND TECHNICAL EXPERIENCE THAT ARE REQUIRED BY OWM. IN ACCORDANCE WITH THE CONTRACT CLAUSE, WORK ASSIGNMENTS (EPAAR 1552.211-74), EPA SHALL PROVIDE THE CONTRACTOR WITH SPECIFIC PERIODIC REQUIREMENTS UNDER SPECIFIC, INDIVIDUAL WORK ASSIGNMENTS ISSUED FOR SERVICES DURING THE PERFORMANCE PERIODS OF THIS CONTRACT.  THE CONTRACTOR'S SUPPORT SERVICES UNDER THIS PERFORMANCE WORK STATEMENT (PWS) WILL PARALLEL OWM'S PROGRAM RESPONSIBILITIES UNDER THE CLEAN WATER ACT (CWA) AND THE SAFE DRINKING WATER ACT (SDWA), TO INCLUDE SERVICES IN SUPPORT FOR THE NATIONAL POLLUTANT DISCHARGE ELIMINATION SYSTEM (NPDES), BOTH MUNICIPAL AND INDUSTRIAL DISCHARGES FROM STORM WATER, SEWER SYSTEM OVERFLOWS, CONSTRUCTION, COMMERCIAL VESSELS, AND ANIMAL FEEDING OPERATIONS. IN ADDITION, THE CONTRACTOR SHALL PROVIDE SUPPORT SERVICES FOR EPA ACTIONS PURSUANT TO THE CLEAN WATER ACT, SECTION 316 [COOLING WATER INTAKE], THE NATIONAL PRETREATMENT PROGRAM, THE CLEAN WATER ACT STATE REVOLVING LOAN FUND, THE SAFE DRINKING WATER ACT STATE REVOLVING FUND, AND THE NATIONAL BIOSOLIDS PROGRAM.   UNDER NO CIRCUMSTANCES SHALL THIS CONTRACT BE USED AS A VEHICLE TO CHANNEL FUNDS TO ASSISTANCE RECIPIENTS.  THE CONTRACTOR SHALL PROVIDE PROFESSIONAL AND TECHNICAL SERVICES, TO INCLUDE ALL SUPPLIES, FACILITIES, AND EQUIPMENT REQUIRED TO PERFORM AND AFFECT THE REQUIRED PERFORMANCE WITHIN THE SCOPE OF THIS PWS IN ACCORDANCE WITH ALL APPLICABLE LAWS AND REGULATIONS, FEDERAL, STATE, AND LOCAL."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF KS-CHM.0119-17; E-065-2017/0-US-01; OPPENHEIM; PATENT LEGAL SERVICE (ANTCZK)
DEPARTMENT OF TRANSPORTATION (DOT),AJV-S SYSTEMS ENGINEERING AND TECHNICAL SUPPORT SERVICES
DEPARTMENT OF AGRICULTURE (USDA),"THE  U.S. DEPARTMENT OF AGRICULTURE`S NATIONAL AGRICULTURAL RESEARCH, EXTENSION, EDUCATION, AND ECONOMICS ADVISORY BOARD NAREEAB SEEKS THE ASSISTANCE OF A QUALIFIED PUBLIC AFFAIRS CONSULTING FIRM TO: CREATE, IMPLEMENT AND REVISE A STRATEGIC MARKETING"
DEPARTMENT OF JUSTICE (DOJ),"***SUBJECT TO AVAILABILITY OF FUNDS*** FSA NON-ASSET FORFEITURE CONTRACT PERSONNEL COVERING THE PERIOD OF APRIL 1, 2020 TO JUNE 30, 2020.  TEN (10) CONTRACTORS."
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF MULTIFUNCTION COMMUNICATIONS SYSTEMS FOR POSITIONING, NAVIGATION IN CONTESTED ENVIRONMENTS"
GENERAL SERVICES ADMINISTRATION (GSA),THE PURPOSE OF THIS ACTION IS TO AWARD THIS TASK ORDER FOR INTEGRATED MULTI-DOMAIN COMMAND AND CONTROL (IMDC2) TECHNICAL SUPPORT.
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),IGF::CL::IGF NEW AWARD - UKRAINE TASK ORDER INITIAL FUNDING (EC-OCO 16/17).
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF TTC-BIO.0183-15; E-254-2005/2-US-20; FELBER; PATENT LEGAL SERVICE; (FREEL)
DEPARTMENT OF DEFENSE (DOD),DTRA TECHNICAL REACHBACK SURGE SERVICES
DEPARTMENT OF DEFENSE (DOD),"SUBMARINE ON BOARD TRAINER SERVICES FOR NAVAL UNDERSEA WARFARE CENTER DIVISION NEWPORT, CODE 25."
DEPARTMENT OF THE INTERIOR (DOI),IGF::OT::IGF AT-14-01 RODEO TASK ORDER 7 - CONTINUATION OF OBSERVATIONS AT BLOCK ISLAND WIND FARM
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF HOMELAND SECURITY (DHS),PROVIDE TWO (2) TECHNICAL SPECIALISTS UNDER THE PA-TAC IV (ZONE 2) CONTRACT IN SUPPORT OF DR-4381-MI
DEPARTMENT OF DEFENSE (DOD),RFP 19-71 ROSA REFRESH Q8 SYSTEMS MODIFICATION - SMC/SY
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MSC S4 TO #032 OIR-DDIR NIH INTRAMURAL RESEARCH PROGRAM STRATEGIC SUPPORT SERVICES FOR DEPUTY DIRECTOR OFFICE OF INTRAMURAL RESEARCH  REFERENCE - MSC S4 TORP #32 OIR-DDIR
GENERAL SERVICES ADMINISTRATION (GSA),"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MMULTIPLE AGENCY CONTRACT,IGF::OT::IGF"
DEPARTMENT OF DEFENSE (DOD),LABOR AND FIXED FEE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF REPOSITORY SERVICES FOR MFMU SPECIMENS
DEPARTMENT OF DEFENSE (DOD),BASE AWARD -
DEPARTMENT OF DEFENSE (DOD),"TECHNOLOGY REFRESH, LIFE CYCLE ENGINEERING SUPPORT, HARDWARE AND SOFTWARE SUPPORT FOR JOINT EXPEDITIONARY COMMAND AND CONTROL (JEXC2)"
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"UNITED STATES PERSONAL SERVICES CONTRACT IN SUPPORT OF THE OFFICE OF TRANSITION INITIATIVES, PROGRAM LEARNING AND INNOVATION DIVISION AND ITS OBJECTIVES."
DEPARTMENT OF THE INTERIOR (DOI),PFMD EMP MISSION SUPPORT&PLANNING SVC
ENVIRONMENTAL PROTECTION AGENCY (EPA),ESAT REGION 7 - TASK ORDER 2: SUPERFUND PROGRAM SUPPORT IGF::CT::IGF
ENVIRONMENTAL PROTECTION AGENCY (EPA),JUST-IN-TIME SERVICES: OFFICE OF ATMOSPHERIC PROTECTION/CLEAN AIR MARKETS DIVISION
DEPARTMENT OF AGRICULTURE (USDA),PERU FOREST PERSONNEL AND INFORMATION MANAGEMENT CONSULTANT  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF THE INTERIOR (DOI),"IMPROVEMENTS TO THE ALASKA PUBLIC LAND SURVEY SYSTEM GIS DATASET, 2020"
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),IGF::CL::IGF NEW PSC AWARD TO SERVE AS A SURGE RESPONSE FOOD FOR PEACE OFFICER
DEPARTMENT OF COMMERCE (DOC),ACQUIRE CONTRACTOR SERVICE FOR FY 20 OFDNET-OHRNET O&M ENGINEERING SUPPORT. DOC: DOC50PAPT1400015 POP/FPOP: 5/12/2020 - 5/11/2021 OIEO 2749 - ACQ-20-1026
ENVIRONMENTAL PROTECTION AGENCY (EPA),"EMERGENCY&RAPID RESPONSE SERVICES: LOWER DARBY CREEK AREA, OPERABLE UNIT 1 IGF::OT::IGF"
DEPARTMENT OF HOMELAND SECURITY (DHS),MCS PROGRAM SUPPORT - SETA III
DEPARTMENT OF TRANSPORTATION (DOT),"TASK 1 PROCESSING OF PIPELINE, LNG PLANT, AND BOT DATA - NATIONAL PIPELINE MAPPING SYSTEM REPOSITORY"
GENERAL SERVICES ADMINISTRATION (GSA),"IGF::CL::IGF.   CECOM LRC IS TO BE THE PROVIDER OF CHOICE FOR SUPPORT OF THE WORLDS BEST C4ISR SYSTEMS, INCLUDING EQUIPMENT TRAINING, TECHNICAL ASSISTANCE, AND FORWARD SUSTAINMENT SERVICES TO THE WARFIGHTER"
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),IGF::OT::IGF THE OBJECTIVE OF THIS TASK ORDER IS TO PROVIDE PERIODICAL MONITORING AND VERIFICATION SERVICES FOR ALL THE CONSTRUCTION AND NON-CONSTRUCTION COMPONENTS OF THE TWO GOMAL ZAM PROJECTS (I.E. WARAN CANAL AND GOMAL ZAM DAM COMMAND AREA DEVELOPMENT PROJECT) IN D. I. KHAN AND TANK DISTRICTS OF KHYBER PAKHTUNKHWA.
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF DAI INFRASTRUCTURE SUPPORT SERVICES - CONTRACT AWARD
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),COVID ACCOUNTABILITY AND RISK ASSESSMENT TEAM (CARAT)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-KS-BIO.0575-18; E-331-2013-0-US-23; LINDSTROM; PATENT LEGAL SERVICE; (SURABIAN) CLN 2-KS-BIO.0581-18; E-331-2013-0-US-22; LINDSTROM; PATENT LEGAL SERVICE; (SURABIAN) CLN 3-KS-BIO.0635-18; E-331-2013-0-SG-21; LINDSTROM; PATENT LEGAL SERVICE; (SURABIAN) CLN 4-KS-BIO.0660-18; E-331-2013-0-SG-24; LINDSTROM; PATENT LEGAL SERVICE; (SURABIAN)
DEPARTMENT OF EDUCATION (ED),"THE WHAT WORKS CLEARINGHOUSE: STATISTICS, WEBSITE, AND TRAINING (WWC - SWAT) CONTRACT IS FOR THE SERVICES FOR A NUMBER OF ESSENTIAL TASKS FOR THE WHAT WORKS CLEARINGHOUSE (WWC) AS A WHOLE, INCLUDING THOSE RELATED TO THE WEBSITE, DEVELOPMENT OF STANDARDS AND PROCEDURES, AND REVIEWER TRAINING AND CERTIFICATION. THE WWC REVIEWS RESEARCH ON VARIOUS PROGRAMS, PRODUCTS, POLICIES, AND PRACTICES IN EDUCATION, WITH THE GOAL OF PROVIDING EDUCATORS WITH THE INFORMATION THEY NEED TO MAKE EVIDENCE-BASED DECISIONS."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF KS-BIO.0548-17; E-236-2012/0-CN-05; HO; PATENT LEGAL SERVICE (LAMBERTSON)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"SEER CORE INFRASTRUCTURE SUPPORT, BASE PERIOD"
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF  THIS CPFF TASK ORDER IS FOR OCONUS COUNTER-IMPROVISED EXPLOSIVE DEVICS, WEAPONS TECHNICAL INTELLIGENCE AND EXPLOITATION IN SUPPORT OF HQDA-G 38."
DEPARTMENT OF COMMERCE (DOC),"NOAA FISHERIES, GARFO- DATA COLLECTION, ANALYSIS AND SUPPORT SERVICES BIOLOGICAL SAMPLING ANALYST"
FEDERAL COMMUNICATIONS COMMISSION (FCC),"CONTRACTOR SHALL PROVIDE ALL LABOR AND SUPERVISION FOR ON-CALL ""RELIEF"" LPN FOR THE FEDERAL COMMUNICATIONS COMMISSION (FCC) IN ACCORDANCE WITH THE STATEMENT OF WORK (SOW) UNDER BLANKET PURCHASE AGREEMENT (BPA) 273FCC20A0013."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MARKETPLACE ASSISTER TECHNICAL SUPPORT (MATS) PROGRAM
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"NEW PSC CONTRACT, PROGRAM OPERATIONS SPECIALIST, AFD, YR. 1"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),TASK ORDER #033 OIR/AIRIO
DEPARTMENT OF DEFENSE (DOD),"IGF::CT::IGF ENGINEERING, SOFTWARE, TECHNICAL AND TRAINING SUPPORT SERVICES FOR ENABLING TECHNOLOGIES, REMOTE MONITORING, AND CONDITION BASED ASSESSMENT SYSTEMS, DISASTER RECOVERY /CONTINUITY OF OPERATIONS (DR/COOP)&CYBER SECURITY INCLUDING CERTIFICATION&ACCREDITATION OF SHIPBOARD MACHINERY CONTROL SYSTEMS"
ENVIRONMENTAL PROTECTION AGENCY (EPA),"IGF::OT::IGF THE CONTRACTOR SHALL PERFORM PROVIDE SUPPORT FOR TECHNICAL SUPPORT FOR GREENHOUSE GAS REPORTING PROGRAM IN ACCORDANCE WITH ATTACHMENT A - STATEMENT OF WORK (8 PAGES).   THIS BPA CALL ORDER HEREBY INCORPORATES THE TERMS AND CONDITIONS FROM EPA BPA NUMBER EP-BPA-18-H-00011 BY REFERENCE.  THIS IS A TIME AND MATERIALS BPA CALL ORDER WITH A TOTAL CEILING OF $586,067.18 WHICH THE CONTRACTOR IS NOT AUTHORIZED TO EXCEED. THE CONTRACTOR EXCEEDS AT ITS OWN RISK.   CONTRACTING OFFICER REPRESENTATIVE (COR) - KONG CHIU,(202)343-9309, CHIU.KONG@EPA.GOV  ALTERNATE COR - RACHEL SCHMELTZ,(202)343-9124, SCHMELTZ.RACHEL@EPA.GOV"
DEPARTMENT OF DEFENSE (DOD),ENGINEERING&TECHNICAL SERVICES
DEPARTMENT OF STATE (DOS),"NEW BPA CALL ORDER FOR TASK ORDER #4 (HR), STATE ADMINISTRATIVE SERVICES (SOFTWARE APPLICATION ENHANCEMENTS, UPGRADES, ETC) IGF::OT::IGF"
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),THE GOAL OF THIS ACTIVITY IS A MORE RESPONSIVE JUSTICE SYSTEM CAPABLE OF PROVIDING PEOPLE ACCESS TO QUALITY SERVICES AND MULTIPLE MEANS TO SOLVE THEIR JUSTICE NEEDS AND EVERY DAY LEGAL PROBLEMS TO GENERATE GREATER PUBLIC TRUST IN THE JUSTICE SYSTEM A
DEPARTMENT OF THE INTERIOR (DOI),"IGF::OT::IGF COACHING, FACILITATION, MEDIATION AND COLLABORATIVE CONFLICT MANAGEMENT SERVICES FWS LOXAHATCHEE ASSESSMENT"
DEPARTMENT OF DEFENSE (DOD),IGF::CT::IGF ICBM TRAINERS SOFTWARE SUSTAINMENT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF TTC-BIO.0046-16; E-172-1986/1-US-03; CHANG; PATENT LEGAL SERVICE; (RUCKER)
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"SUPPORT RELIEF GROUP (SRG) GENERALIST, OPERATIONS (OPS) DIVISION, YEAR 1"
DEPARTMENT OF JUSTICE (DOJ),FULL-TIME DATA ANALYST CONTRACTOR FOR ACE QUI TAM AND CIVIL CORPORATE FRAUD
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF SEAPORT ENHANCED
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),PROSPECTIVE ASSESSMENT OF COVID-19 AND OTHER RESPIRATORY VIRUSES IN A COMMUNITY
GENERAL SERVICES ADMINISTRATION (GSA),DISA PROGRAM MANAGEMENT AND SPECIALIZED TECHNOLOGY INTEGRATION PM STI II
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CL::IGF TASK ORDER FOR RAPID CONSUMER MESSAGE TESTING
DEPARTMENT OF DEFENSE (DOD),AWARD OF NITE TASK ORDER
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OBS FINANCIAL MANAGEMENT PLANNING SUPPORT SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF SR-BIO.0228-17; E-139-2011/1-CA-04; CHIORINI; PATENT LEGAL SERVICE (MEI)
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF  ENHANCEMENT OF DARWIN S/W AS AN AF FLEET MANAG
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),BETTER ACCESS AND CONNECTIVITY (BEACON) PROJECT
DEPARTMENT OF DEFENSE (DOD),"STRATEGIC ARMY RESEARCH AND SUPPORT SERVICES (STARS) FOR STRATEGIC, ANALYTICAL, LOGISTICAL, AND TECHNOLOGY DEVELOPMENT SUPPORT SERVICES FOR THE ARMY RESEARCH LABORATORY (ARL) AT GEOGRAPHICALLY DISPERSED LOCATIONS THROUGHOUT THE UNITED STATES."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OCOO DIGITIAL&WEB MEDIA MANAGEMENT
DEPARTMENT OF JUSTICE (DOJ),"IGF::CT::IGF THIS CONTRACT WILL BE USED TO PROVIDE PROFESSIONAL LITIGATION SUPPORT PRODUCTS AND SERVICES TO THE DEPARTMENT OF JUSTICE AND OTHER FEDERAL AGENCIES ON AN INDEFINITE DELIVERY, INDEFINITE QUANTITY TASK ORDER BASIS. INDIVIDUAL TASK ORDERS ISSUED UNDER THIS CONTRACT MAY SUPPORT ANY DEPARTMENT OF JUSTICE ORGANIZATION OR FEDERAL AGENCY ON A LOCAL AND/OR NATIONWIDE BASIS. SERVICES MAY BE REQUIRED ANYWHERE IN OR OUTSIDE OF THE UNITED STATES AND ITS TERRITORIES. THIS CONTRACT WILL ALSO BE USED TO SUPPORT CASE- OR INVESTIGATION-RELATED ADMINISTRATIVE FUNCTIONS"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"RFTOP LARC-2020-NIAAA-0028, UNDER CONTRACT NO.: 75N98019D00043 CONTRACT BILLING NO.: 75N98019D00043 FUNDING MONTHLY INVOICES OCTOBER 2020 THROUGH MARCH 2021."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0470-15; E-085-2013/0-EP-05; GROS; PATENT LEGAL SERVICE; (HASTINGS)
DEPARTMENT OF HOMELAND SECURITY (DHS),CONTRACTING OFFICER (CO):  GREGORY BLASZKO CONTINUED TECHNICAL SERVICES ASSISTING IN DEVELOPING AND IMPLEMENTING ENTERPRISE INFRASTRUCTURE TRANSITION AND MODERNIZATION STRATEGIES.
DEPARTMENT OF HOMELAND SECURITY (DHS),RPM RP ECT EVRST ORDER
DEPARTMENT OF DEFENSE (DOD),CAPE LAUNCH OPERATIONS AND INFRASTRUCTURE SUPPORT NAVY ORDNANCE TEST UNIT SECURITY
DEPARTMENT OF DEFENSE (DOD),NON-NUCLEAR PRODUCTION SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF SR-BIO.0446-16; E-019-2007/2-CN-17; YANG; PATENT LEGAL SERVICE (SOUKAS)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-LVM-BIO.0608-18; E-295-2012-0-DE-07; O'KEEFE; PATENT LEGAL SERVICE; (GRIFFIN) CLN 2-LVM-BIO.0609-18; E-295-2012-0-FR-08; O'KEEFE; PATENT LEGAL SERVICE; (GRIFFIN) CLN 3-LVM-BIO.0610-18; E-295-2012-0-GB-09; O'KEEFE; PATENT LEGAL SERVICE; (GRIFFIN) CLN 4-LVM-BIO.0629-18; E-295-2012-0-AU-03; O'KEEFE; PATENT LEGAL SERVICE; (GRIFFIN) CLN 5-LVM-BIO.0631-18; E-295-2012-0-US-06; O'KEEFE; PATENT LEGAL SERVICE; (GRIFFIN)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),WEB CONTENT MANAGEMENT SYSTEM SUPPORT SERVICES
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF AGRICULTURE (USDA),MOZAMBIQUE FIRE CONSULTANT  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF EAPD-BIO.0196-17; E-357-2001/1-US-29; PLETNEV; PATENT LEGAL SERVICE (SOUKAS)
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF NAVY WORKING CAPITAL FUNDS (NWCF) LABOR
DEPARTMENT OF DEFENSE (DOD),EGLIN RADAR TRANSMITTER REPLACEMENT PROJECT - FIRST ARTICLE - SPACE AND MISSILE SYSTEMS CENTER/SPACE SUPERIORITY SYSTEMS DIRECTORATE.
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"BASE BPA HHSN261201700002B (BASE POP: 08/01/2017 - 07/31/2020) MASTER AGREEMENT TERMS&CONDITIONS APPLY  SUPPORT SERVICES (RESEARCH ANALYST 12) FOR THE SURGICAL ONCOLOGY PROGRAM, CENTER FOR CANCER RESEARCH, NATIONAL CANCER INSTITUTE PERIOD OF"
CONSUMER FINANCIAL PROTECTION BUREAU (CFPB),IGF::OT::IGF  HUMAN RESOURCES SUPPORT SERVICES BPA CALL
DEPARTMENT OF DEFENSE (DOD),WAM
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0675-17; E-175-2015/1-US-05; CHIORINI; PATENT LEGAL SERVICE; (MEI)
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"UNITED STATES PERSONAL SERVICES CONTRACT IN SUPPORT OF THE OFFICE OF TRANSITION INITIATIVES,  FIELD PROGRAMS DIVISION AND ITS OBJECTIVES."
DEPARTMENT OF HOMELAND SECURITY (DHS),PROTECTIVE SECURITY OFFICER SERVICES THROUGHOUT THE STATE OF NEW HAMPSHIRE; 10/1/17 TO 5/31/18
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF EXPANDED MULTIDISCLIPLINE ANALYSIS DESIGN OPTIMIZE FOR EFFECTIVENESS BASED DESIGN TECHNOLOGIES (EXPEDITE)
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),IGF::CL::IGF
DEPARTMENT OF THE INTERIOR (DOI),TAR CREEK TERRESTRIAL RCDP
DEPARTMENT OF LABOR (DOL),IGF::OT::IGF REO TECHNICAL ASSISTANCE CONTRACT
DEPARTMENT OF DEFENSE (DOD),SSA OFFSITE SUPPORT 160C
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-KS-CHM.0022-19; E-080-2018-0-PCT-02; SCHNEIDER; PATENT LEGAL SERVICE; (ANTCZAK) CLN 2-KS-CHM.0023-19; E-080-2018-0-PCT-02; SCHNEIDER; PATENT LEGAL SERVICE; (ANTCZAK)
DEPARTMENT OF JUSTICE (DOJ),HAZARDOUS WASTE CLEANUP AND DISPOSAL SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-LVM-CHM.0152-18; E-314-2013-0-CH-05; CHEN; PATENT LEGAL SERVICE; (SHMILOVICH) CLN 2-LVM-CHM.0153-18; E-314-2013-0-DE-06; CHEN; PATENT LEGAL SERVICE; (SHMILOVICH) CLN 3-LVM-CHM.0154-18; E-314-2013-0-FR-07; CHEN; PATENT LEGAL SERVICE; (SHMILOVICH) CLN 4-LVM-CHM.0155-18; E-314-2013-0-GB-08; CHEN; PATENT LEGAL SERVICE; (SHMILOVICH) CLN 5-LVM-CHM.0156-18; E-314-2013-0-IE-09; CHEN; PATENT LEGAL SERVICE; (SHMILOVICH)
DEPARTMENT OF AGRICULTURE (USDA),CONTRACT SUPPORT FOR THE RECONSTITUTION PROGRAM. IGF::OT::IGF
DEPARTMENT OF AGRICULTURE (USDA),VIETNAM GIS CONSULTANT  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF HOMELAND SECURITY (DHS),NEW AWARD: CRCL SUBJECT MATTER EXPERT TO REVIEW CIVIL LIBERTIES ISSUES
